id,sku,name,type,category,price,regular_price,discount_pct,price_txt,on_sale,price_contact,in_stock,stock_label,sale_until,price_verified,variation_count,permalink
2493,"DP60W","Đèn pha năng lượng mặt trời M-PH 60W Maxsolar",simple,"Đèn pha năng lượng mặt trời",790000,1200000,34,"790.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-nang-luong-mat-troi-60w/
2507,"M-PHA200W","Đèn pha năng lượng mặt trời M-PHA 200W Maxsolar",simple,"Đèn pha năng lượng mặt trời",980000,1400000,30,"980.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-nang-luong-mat-troi-200w/
2512,"M-PHA500W","Đèn pha năng lượng mặt trời M-PHA 500W Maxsolar",simple,"Đèn pha năng lượng mặt trời",1480000,2110000,30,"1.480.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-nang-luong-mat-troi-500w/
7838,"M-PHA 800W","Đèn pha năng lượng mặt trời M-PHA 800W Maxsolar",simple,"Đèn pha năng lượng mặt trời",1780000,2540000,30,"1.780.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-pha-nang-luong-mat-troi-m-pha-800w-maxsolar/
2566,"DPXT100","Đèn pin xách tay năng lương mặt trời M-ST 100W Maxsolar",simple,"Đèn năng lượng mặt trời 100w",490000,700000,30,"490.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-pin-xach-tay-nang-luong-mat-troi-100w/
2568,"DPXT200","Đèn pin xách tay năng lương mặt trời M-ST 200W Maxsolar",simple,"Đèn năng lượng mặt trời trong nhà",630000,900000,30,"630.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-pin-xach-tay-nang-luong-mat-troi-200w/
7576,"M-TT01","Đèn Rọi Năng Lượng Mặt Trời M-TT01",simple,"Đèn trang trí năng lượng mặt trời",480000,690000,30,"480.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-roi-nang-luong-mat-troi-m-tt01/
2541,"DTC20","Đèn trụ cổng năng lượng mặt trời M-TR 20cm Maxsolar",variable,"Đèn trụ cổng năng lượng mặt trời",690000,985000,30,"690.000 ₫",true,false,true,"Còn hàng","",true,2,https://maxsolar.vn/den-tru-cong-nang-luong-mat-troi-20x20cm/
2543,"DTC25","Đèn trụ cổng năng lượng mặt trời M-TR 25cm Maxsolar",variable,"Đèn trụ cổng năng lượng mặt trời",790000,1128000,30,"790.000 ₫",true,false,true,"Còn hàng","",true,2,https://maxsolar.vn/den-tru-cong-nang-luong-mat-troi-25x25cm/
2554,"DTC30","Đèn trụ cổng năng lượng mặt trời M-TR 30cm Maxsolar",variable,"Đèn trụ cổng năng lượng mặt trời",890000,1800000,51,"890.000 ₫",true,false,true,"Còn hàng","",true,2,https://maxsolar.vn/den-tru-cong-nang-luong-mat-troi-thuoc-30x30cm/
